Time [s],Channel 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.761833375,1,,0.000434917,,434.917,,434,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.762372125,0,,0.00053875,,538.75,,538,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.762858208,1,,0.000486083,,486.083,,486,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.763390583,0,,0.000532375,,532.375,,532,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.763882542,1,,0.000491959,,491.959,,491,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.764386583,0,,0.000504041,,504.041,,504,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.764889125,1,,0.000502542,,502.542,,502,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.765383125,0,,0.000494,,494,,494,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.765887208,1,,0.000504083,,504.083,,504,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.766379083,0,,0.000491875,,491.875,,491,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.7668815,1,,0.000502417,,502.417,,502,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.767375208,0,,0.000493708,,493.708,,493,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502,493",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.767875667,1,,0.000500459,,500.459,,500,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502,493,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.76837125,0,,0.000495583,,495.583,,495,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502,493,500,495",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.768870583,1,,0.000499333,,499.333,,499,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502,493,500,495,499",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.769367542,0,,0.000496959,,496.959,,496,,"617,17921,3013,8940,538,454,539,1460,534,459,533,486,508,488,509,487,507,489,463,530,492,506,494,1496,530,464,534,460,538,1456,532,464,531,466,530,1460,531,1464,528,1484,507,1484,507,1487,459,562,434,538,486,532,491,504,502,494,504,491,502,493,500,495,499,496",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
